Result: timeout - The initial situation is similar to episode 100, the first part of the path is the same, then the detachment started to do the right things, but I still can’t get out, the vase has a narrow neck and the detachment didn’t work as it should?
Goal: [-27.729990511286058, -5.0932279938371545, -3.689441731315572, 112.45179200500634, -24.575695034638745, 88.68590705450602]
Steps: 500
Start: [-23.620410380186982, 14.581469168213502, -27.728004137299955, 152.0142248182974, -30.723594364897764, -164.81109524900256]
End: [-131.01932927519422, 12.78380453870635, -115.68820459594251, 0.0, -30.0, 0.0]
Start distance: 31.3mm
End distance: 153.4mm

Step 001 (dist=31.3mm): source: sac, act_name: move_tangentially
Step 025 (dist=40.0mm): source: sac, act_name: move_tangentially
Step 026 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 027 (dist=38.8mm): source: sac, act_name: move_tangentially
Step 028 (dist=40.7mm): source: sac, act_name: move_tangentially
Step 029 (dist=40.1mm): source: sac, act_name: move_tangentially
Step 030 (dist=41.9mm): source: sac, act_name: move_tangentially
Step 031 (dist=40.1mm): source: sac, act_name: move_tangentially
Step 032 (dist=41.2mm): source: sac, act_name: move_tangentially
Step 033 (dist=40.9mm): source: sac, act_name: move_tangentially
Step 034 (dist=39.7mm): source: sac, act_name: move_tangentially
Step 035 (dist=39.4mm): source: sac, act_name: move_tangentially
Step 036 (dist=39.7mm): source: sac, act_name: move_tangentially
Step 037 (dist=37.7mm): source: sac, act_name: move_tangentially
Step 038 (dist=35.7mm): source: sac, act_name: move_tangentially
Step 039 (dist=36.4mm): source: sac, act_name: move_tangentially
Step 040 (dist=37.3mm): source: sac, act_name: move_tangentially
Step 041 (dist=38.3mm): source: sac, act_name: move_tangentially
Step 042 (dist=36.5mm): source: sac, act_name: move_tangentially
Step 043 (dist=37.0mm): source: sac, act_name: move_tangentially
Step 044 (dist=38.8mm): source: sac, act_name: move_tangentially
Step 045 (dist=40.6mm): source: sac, act_name: move_tangentially
Step 046 (dist=41.6mm): source: sac, act_name: move_tangentially
Step 047 (dist=39.7mm): source: sac, act_name: move_tangentially
Step 048 (dist=40.1mm): source: sac, act_name: move_tangentially
Step 049 (dist=39.8mm): source: sac, act_name: move_tangentially
Step 050 (dist=37.7mm): source: sac, act_name: move_tangentially
Step 051 (dist=37.5mm): source: sac, act_name: move_tangentially
Step 052 (dist=38.9mm): source: sac, act_name: move_tangentially
Step 053 (dist=40.8mm): source: sac, act_name: move_tangentially
Step 054 (dist=41.4mm): source: sac, act_name: move_tangentially
Step 055 (dist=41.0mm): source: sac, act_name: move_tangentially
Step 056 (dist=39.3mm): source: sac, act_name: move_tangentially
Step 057 (dist=37.4mm): source: sac, act_name: move_tangentially
Step 058 (dist=38.8mm): source: sac, act_name: move_tangentially
Step 059 (dist=38.2mm): source: sac, act_name: move_tangentially
Step 060 (dist=36.6mm): source: sac, act_name: move_tangentially
Step 061 (dist=34.3mm): source: sac, act_name: move_tangentially
Step 062 (dist=35.7mm): source: sac, act_name: move_tangentially
Step 063 (dist=36.6mm): source: sac, act_name: move_tangentially
Step 064 (dist=37.9mm): source: sac, act_name: move_tangentially
Step 065 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 066 (dist=40.8mm): source: sac, act_name: move_tangentially
Step 067 (dist=41.7mm): source: sac, act_name: move_tangentially
Step 068 (dist=42.9mm): source: sac, act_name: move_tangentially
Step 069 (dist=41.5mm): source: sac, act_name: move_tangentially
Step 070 (dist=43.3mm): source: sac, act_name: move_tangentially
Step 071 (dist=43.5mm): source: sac, act_name: move_tangentially
Step 072 (dist=43.9mm): source: sac, act_name: move_tangentially
Step 073 (dist=44.5mm): source: sac, act_name: move_tangentially
Step 074 (dist=42.8mm): source: sac, act_name: move_tangentially
Step 075 (dist=43.5mm): source: sac, act_name: move_tangentially
Step 076 (dist=45.3mm): source: sac, act_name: move_tangentially
Step 077 (dist=44.6mm): source: sac, act_name: move_tangentially
Step 078 (dist=42.8mm): source: sac, act_name: move_tangentially
Step 079 (dist=44.6mm): source: sac, act_name: detach
Step 080 (dist=43.5mm): source: sac, act_name: free_forward
Step 081 (dist=37.0mm): source: q_store, act_name: free_forward
Step 082 (dist=31.3mm): source: q_store, act_name: free_forward
Step 083 (dist=26.7mm): source: q_store, act_name: free_forward
Step 084 (dist=24.1mm): source: q_store, act_name: look_down_big
Step 085 (dist=24.1mm): source: q_store, act_name: turn_right_big
Step 086 (dist=24.1mm): source: q_store, act_name: turn_right_big
Step 087 (dist=24.1mm): source: q_store, act_name: look_down_big
Step 088 (dist=24.1mm): source: q_store, act_name: look_down_big
Step 089 (dist=24.1mm): source: q_store, act_name: look_down_big
Step 090 (dist=24.1mm): source: q_store, act_name: look_down_big
Step 091 (dist=24.1mm): source: q_store, act_name: look_down_big
Step 092 (dist=24.1mm): source: q_store, act_name: free_forward
Step 093 (dist=22.4mm): source: q_store, act_name: look_down_big
Step 094 (dist=22.4mm): source: q_store, act_name: turn_right_big
Step 095 (dist=22.4mm): source: q_store, act_name: turn_right_big
Step 096 (dist=22.4mm): source: q_store, act_name: look_down_big
Step 097 (dist=22.4mm): source: q_store, act_name: look_down_big
Step 098 (dist=22.4mm): source: q_store, act_name: look_down_big
Step 099 (dist=22.4mm): source: sac, act_name: move_tangentially
Step 100 (dist=19.0mm): source: sac, act_name: move_tangentially
Step 101 (dist=20.7mm): source: sac, act_name: move_tangentially
Step 102 (dist=21.6mm): source: sac, act_name: move_tangentially
Step 103 (dist=20.8mm): source: sac, act_name: move_tangentially
Step 104 (dist=20.1mm): source: sac, act_name: move_tangentially
Step 105 (dist=21.8mm): source: sac, act_name: move_tangentially
Step 106 (dist=23.6mm): source: sac, act_name: move_tangentially
Step 107 (dist=25.4mm): source: sac, act_name: move_tangentially
Step 108 (dist=26.5mm): source: sac, act_name: move_tangentially
Step 109 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 110 (dist=25.3mm): source: sac, act_name: move_tangentially
Step 111 (dist=26.3mm): source: sac, act_name: move_tangentially
Step 112 (dist=25.4mm): source: sac, act_name: move_tangentially
Step 113 (dist=27.4mm): source: sac, act_name: move_tangentially
Step 114 (dist=25.4mm): source: sac, act_name: move_tangentially
Step 115 (dist=23.5mm): source: sac, act_name: move_tangentially
Step 116 (dist=22.9mm): source: sac, act_name: move_tangentially
Step 117 (dist=23.8mm): source: sac, act_name: move_tangentially
Step 118 (dist=25.7mm): source: sac, act_name: move_tangentially
Step 119 (dist=23.8mm): source: sac, act_name: move_tangentially
Step 120 (dist=24.8mm): source: sac, act_name: move_tangentially
Step 121 (dist=26.7mm): source: sac, act_name: move_tangentially
Step 122 (dist=26.2mm): source: sac, act_name: move_tangentially
Step 123 (dist=24.3mm): source: sac, act_name: move_tangentially
Step 124 (dist=22.4mm): source: sac, act_name: move_tangentially
Step 125 (dist=21.4mm): source: sac, act_name: move_tangentially
Step 126 (dist=19.2mm): source: sac, act_name: move_tangentially
Step 127 (dist=19.1mm): source: sac, act_name: move_tangentially
Step 128 (dist=20.2mm): source: sac, act_name: detach_edge
Step 129 (dist=139.4mm): source: sac, act_name: free_forward
Step 130 (dist=139.8mm): source: sac, act_name: free_forward
Step 131 (dist=140.7mm): source: sac, act_name: free_forward
Step 132 (dist=142.0mm): source: sac, act_name: free_forward
Step 133 (dist=143.7mm): source: sac, act_name: free_forward
Step 134 (dist=145.9mm): source: sac, act_name: free_backward
Step 135 (dist=145.3mm): source: sac, act_name: free_forward
Step 136 (dist=147.8mm): source: sac, act_name: free_backward
Step 137 (dist=147.1mm): source: sac, act_name: free_backward
Step 138 (dist=146.5mm): source: sac, act_name: free_forward
Step 139 (dist=149.2mm): source: sac, act_name: free_backward
Step 140 (dist=148.5mm): source: sac, act_name: free_backward
Step 141 (dist=147.8mm): source: sac, act_name: free_backward
Step 142 (dist=147.1mm): source: sac, act_name: free_backward
Step 143 (dist=146.5mm): source: sac, act_name: free_backward
Step 144 (dist=145.9mm): source: sac, act_name: free_backward
Step 145 (dist=145.3mm): source: sac, act_name: free_backward
Step 146 (dist=144.8mm): source: sac, act_name: free_backward
Step 147 (dist=144.2mm): source: sac, act_name: free_backward
Step 148 (dist=143.7mm): source: sac, act_name: free_backward
Step 149 (dist=143.3mm): source: sac, act_name: free_backward
Step 150 (dist=142.8mm): source: sac, act_name: free_forward
Step 151 (dist=144.8mm): source: sac, act_name: free_forward_small
Step 152 (dist=145.3mm): source: sac, act_name: free_forward
Step 153 (dist=147.8mm): source: sac, act_name: free_forward
Step 154 (dist=150.7mm): source: sac, act_name: free_backward
Step 155 (dist=149.9mm): source: sac, act_name: free_backward
Step 156 (dist=149.2mm): source: sac, act_name: free_backward
Step 157 (dist=148.5mm): source: sac, act_name: free_backward
Step 158 (dist=147.8mm): source: sac, act_name: free_backward
Step 159 (dist=147.1mm): source: sac, act_name: free_backward
Step 160 (dist=146.5mm): source: sac, act_name: free_backward
Step 161 (dist=145.9mm): source: sac, act_name: free_forward
Step 162 (dist=148.5mm): source: sac, act_name: look_down_big
Step 163 (dist=148.5mm): source: sac, act_name: free_forward
Step 164 (dist=150.9mm): source: sac, act_name: free_backward
Step 165 (dist=150.3mm): source: sac, act_name: free_backward
Step 166 (dist=149.7mm): source: sac, act_name: free_backward
Step 167 (dist=149.1mm): source: sac, act_name: free_backward
Step 168 (dist=148.5mm): source: sac, act_name: free_backward
Step 169 (dist=147.9mm): source: sac, act_name: free_backward
Step 170 (dist=147.4mm): source: sac, act_name: free_forward
Step 171 (dist=149.7mm): source: sac, act_name: free_backward
Step 172 (dist=149.1mm): source: sac, act_name: turn_right_big
Step 173 (dist=149.1mm): source: sac, act_name: free_forward
Step 174 (dist=149.7mm): source: sac, act_name: free_forward
Step 175 (dist=150.8mm): source: sac, act_name: free_forward
Step 176 (dist=152.3mm): source: sac, act_name: free_forward
Step 177 (dist=154.2mm): source: sac, act_name: free_forward
Step 178 (dist=156.5mm): source: sac, act_name: free_backward
Step 179 (dist=155.9mm): source: sac, act_name: look_up_big
Step 180 (dist=155.9mm): source: sac, act_name: free_forward_small
Step 181 (dist=156.6mm): source: sac, act_name: free_backward
Step 182 (dist=155.9mm): source: sac, act_name: free_backward
Step 183 (dist=155.2mm): source: sac, act_name: free_backward
Step 184 (dist=154.6mm): source: sac, act_name: free_backward
Step 185 (dist=153.9mm): source: sac, act_name: free_backward
Step 186 (dist=153.4mm): source: sac, act_name: free_forward
Step 187 (dist=155.9mm): source: sac, act_name: free_forward
Step 188 (dist=158.8mm): source: sac, act_name: free_backward
Step 189 (dist=158.0mm): source: sac, act_name: free_backward
Step 190 (dist=157.3mm): source: sac, act_name: free_backward
Step 191 (dist=156.6mm): source: sac, act_name: free_backward
Step 192 (dist=155.9mm): source: sac, act_name: free_backward
Step 193 (dist=155.2mm): source: sac, act_name: free_backward
Step 194 (dist=154.6mm): source: sac, act_name: free_backward
Step 195 (dist=153.9mm): source: sac, act_name: free_backward
Step 196 (dist=153.4mm): source: sac, act_name: free_forward_small
Step 197 (dist=153.9mm): source: sac, act_name: free_forward
Step 198 (dist=156.6mm): source: sac, act_name: free_backward
Step 199 (dist=155.9mm): source: sac, act_name: free_backward
Step 200 (dist=155.2mm): source: sac, act_name: free_backward
Step 201 (dist=154.6mm): source: sac, act_name: free_forward
Step 202 (dist=157.3mm): source: sac, act_name: free_backward
Step 203 (dist=156.6mm): source: sac, act_name: free_backward
Step 204 (dist=155.9mm): source: sac, act_name: free_backward
Step 205 (dist=155.2mm): source: sac, act_name: free_forward
Step 206 (dist=158.0mm): source: sac, act_name: free_backward
Step 207 (dist=157.3mm): source: sac, act_name: free_backward
Step 208 (dist=156.6mm): source: sac, act_name: free_backward
Step 209 (dist=155.9mm): source: sac, act_name: free_backward
Step 210 (dist=155.2mm): source: sac, act_name: free_forward
Step 211 (dist=158.0mm): source: sac, act_name: free_backward
Step 212 (dist=157.3mm): source: sac, act_name: free_backward
Step 213 (dist=156.6mm): source: sac, act_name: free_backward
Step 214 (dist=155.9mm): source: sac, act_name: free_forward
Step 215 (dist=158.8mm): source: sac, act_name: free_backward
Step 216 (dist=158.0mm): source: sac, act_name: free_backward
Step 217 (dist=157.3mm): source: sac, act_name: free_backward
Step 218 (dist=156.6mm): source: sac, act_name: free_backward
Step 219 (dist=155.9mm): source: sac, act_name: free_backward
Step 220 (dist=155.2mm): source: sac, act_name: free_forward_small
Step 221 (dist=155.9mm): source: sac, act_name: free_backward
Step 222 (dist=155.2mm): source: sac, act_name: free_backward
Step 223 (dist=154.6mm): source: sac, act_name: free_backward
Step 224 (dist=153.9mm): source: sac, act_name: free_backward
Step 225 (dist=153.4mm): source: sac, act_name: free_forward
Step 226 (dist=155.9mm): source: sac, act_name: free_backward
Step 227 (dist=155.2mm): source: sac, act_name: free_backward
Step 228 (dist=154.6mm): source: sac, act_name: free_forward
Step 229 (dist=157.3mm): source: sac, act_name: free_backward
Step 230 (dist=156.6mm): source: sac, act_name: free_backward
Step 231 (dist=155.9mm): source: sac, act_name: free_backward
Step 232 (dist=155.2mm): source: sac, act_name: free_backward
Step 233 (dist=154.6mm): source: sac, act_name: free_backward
Step 234 (dist=153.9mm): source: sac, act_name: free_forward_small
Step 235 (dist=154.6mm): source: sac, act_name: free_backward
Step 236 (dist=153.9mm): source: sac, act_name: free_backward
Step 237 (dist=153.4mm): source: sac, act_name: free_forward
Step 238 (dist=155.9mm): source: sac, act_name: free_backward
Step 239 (dist=155.2mm): source: sac, act_name: free_backward
Step 240 (dist=154.6mm): source: sac, act_name: free_forward
Step 241 (dist=157.3mm): source: sac, act_name: free_backward
Step 242 (dist=156.6mm): source: sac, act_name: free_backward
Step 243 (dist=155.9mm): source: sac, act_name: free_backward
Step 244 (dist=155.2mm): source: sac, act_name: free_backward
Step 245 (dist=154.6mm): source: sac, act_name: free_forward
Step 246 (dist=157.3mm): source: sac, act_name: free_backward
Step 247 (dist=156.6mm): source: sac, act_name: free_forward_small
Step 248 (dist=157.3mm): source: sac, act_name: free_backward
Step 249 (dist=156.6mm): source: sac, act_name: free_backward
Step 250 (dist=155.9mm): source: sac, act_name: free_backward
Step 251 (dist=155.2mm): source: sac, act_name: free_forward
Step 252 (dist=158.0mm): source: sac, act_name: free_forward_small
Step 253 (dist=158.8mm): source: sac, act_name: turn_left_big
Step 254 (dist=158.8mm): source: sac, act_name: free_backward
Step 255 (dist=157.6mm): source: sac, act_name: free_backward
Step 256 (dist=156.4mm): source: sac, act_name: free_backward
Step 257 (dist=155.2mm): source: sac, act_name: free_backward
Step 258 (dist=154.0mm): source: sac, act_name: free_backward
Step 259 (dist=152.9mm): source: sac, act_name: free_backward
Step 260 (dist=151.8mm): source: sac, act_name: free_backward
Step 261 (dist=150.7mm): source: sac, act_name: free_backward
Step 262 (dist=149.6mm): source: sac, act_name: free_backward
Step 263 (dist=148.5mm): source: sac, act_name: free_backward
Step 264 (dist=147.5mm): source: sac, act_name: free_backward
Step 265 (dist=146.5mm): source: sac, act_name: free_backward
Step 266 (dist=145.4mm): source: sac, act_name: free_backward
Step 267 (dist=144.5mm): source: sac, act_name: free_backward
Step 268 (dist=143.5mm): source: sac, act_name: turn_right_big
Step 269 (dist=143.5mm): source: sac, act_name: free_backward
Step 270 (dist=143.0mm): source: sac, act_name: free_forward
Step 271 (dist=145.0mm): source: sac, act_name: free_backward
Step 272 (dist=144.5mm): source: sac, act_name: free_backward
Step 273 (dist=144.0mm): source: sac, act_name: free_forward
Step 274 (dist=146.2mm): source: sac, act_name: free_backward
Step 275 (dist=145.6mm): source: sac, act_name: free_forward
Step 276 (dist=148.1mm): source: sac, act_name: free_backward
Step 277 (dist=147.4mm): source: sac, act_name: free_backward
Step 278 (dist=146.8mm): source: sac, act_name: free_forward_small
Step 279 (dist=147.4mm): source: sac, act_name: free_forward
Step 280 (dist=150.2mm): source: sac, act_name: free_backward
Step 281 (dist=149.5mm): source: sac, act_name: free_backward
Step 282 (dist=148.8mm): source: sac, act_name: free_backward
Step 283 (dist=148.1mm): source: sac, act_name: free_backward
Step 284 (dist=147.4mm): source: sac, act_name: free_backward
Step 285 (dist=146.8mm): source: sac, act_name: turn_right_big
Step 286 (dist=146.8mm): source: sac, act_name: free_forward
Step 287 (dist=147.5mm): source: sac, act_name: free_forward
Step 288 (dist=148.6mm): source: sac, act_name: free_forward
Step 289 (dist=150.1mm): source: sac, act_name: free_forward
Step 290 (dist=152.0mm): source: sac, act_name: free_forward_small
Step 291 (dist=152.5mm): source: sac, act_name: free_forward
Step 292 (dist=155.0mm): source: sac, act_name: free_forward
Step 293 (dist=157.7mm): source: sac, act_name: free_backward
Step 294 (dist=157.0mm): source: sac, act_name: free_backward
Step 295 (dist=156.3mm): source: sac, act_name: free_backward
Step 296 (dist=155.6mm): source: sac, act_name: free_backward
Step 297 (dist=155.0mm): source: sac, act_name: free_backward
Step 298 (dist=154.3mm): source: sac, act_name: free_forward
Step 299 (dist=157.0mm): source: sac, act_name: free_backward
Step 300 (dist=156.3mm): source: sac, act_name: free_backward
Step 301 (dist=155.6mm): source: sac, act_name: free_backward
Step 302 (dist=155.0mm): source: sac, act_name: free_backward
Step 303 (dist=154.3mm): source: sac, act_name: free_forward
Step 304 (dist=157.0mm): source: sac, act_name: free_backward
Step 305 (dist=156.3mm): source: sac, act_name: free_backward
Step 306 (dist=155.6mm): source: sac, act_name: free_backward
Step 307 (dist=155.0mm): source: sac, act_name: free_backward
Step 308 (dist=154.3mm): source: sac, act_name: free_forward
Step 309 (dist=157.0mm): source: sac, act_name: free_backward
Step 310 (dist=156.3mm): source: sac, act_name: free_backward
Step 311 (dist=155.6mm): source: sac, act_name: free_backward
Step 312 (dist=155.0mm): source: sac, act_name: free_backward
Step 313 (dist=154.3mm): source: sac, act_name: free_backward
Step 314 (dist=153.7mm): source: sac, act_name: free_backward
Step 315 (dist=153.1mm): source: sac, act_name: free_forward
Step 316 (dist=155.6mm): source: sac, act_name: free_forward
Step 317 (dist=158.5mm): source: sac, act_name: free_backward
Step 318 (dist=157.7mm): source: sac, act_name: free_backward
Step 319 (dist=157.0mm): source: sac, act_name: free_backward
Step 320 (dist=156.3mm): source: sac, act_name: free_backward
Step 321 (dist=155.6mm): source: sac, act_name: free_backward
Step 322 (dist=155.0mm): source: sac, act_name: free_backward
Step 323 (dist=154.3mm): source: sac, act_name: free_backward
Step 324 (dist=153.7mm): source: sac, act_name: free_backward
Step 325 (dist=153.1mm): source: sac, act_name: free_backward
Step 326 (dist=152.5mm): source: sac, act_name: free_forward
Step 327 (dist=155.0mm): source: sac, act_name: free_backward
Step 328 (dist=154.3mm): source: sac, act_name: free_backward
Step 329 (dist=153.7mm): source: sac, act_name: free_backward
Step 330 (dist=153.1mm): source: sac, act_name: free_forward
Step 331 (dist=155.6mm): source: sac, act_name: free_backward
Step 332 (dist=155.0mm): source: sac, act_name: free_forward_small
Step 333 (dist=155.6mm): source: sac, act_name: free_backward
Step 334 (dist=155.0mm): source: sac, act_name: free_backward
Step 335 (dist=154.3mm): source: sac, act_name: free_forward
Step 336 (dist=157.0mm): source: sac, act_name: free_backward
Step 337 (dist=156.3mm): source: sac, act_name: free_backward
Step 338 (dist=155.6mm): source: sac, act_name: free_backward
Step 339 (dist=155.0mm): source: sac, act_name: free_forward_small
Step 340 (dist=155.6mm): source: sac, act_name: free_backward
Step 341 (dist=155.0mm): source: sac, act_name: free_backward
Step 342 (dist=154.3mm): source: sac, act_name: free_backward
Step 343 (dist=153.7mm): source: sac, act_name: free_backward
Step 344 (dist=153.1mm): source: sac, act_name: free_forward
Step 345 (dist=155.6mm): source: sac, act_name: free_backward
Step 346 (dist=155.0mm): source: sac, act_name: free_backward
Step 347 (dist=154.3mm): source: sac, act_name: free_backward
Step 348 (dist=153.7mm): source: sac, act_name: free_forward
Step 349 (dist=156.3mm): source: sac, act_name: free_backward
Step 350 (dist=155.6mm): source: sac, act_name: free_backward
Step 351 (dist=155.0mm): source: sac, act_name: free_backward
Step 352 (dist=154.3mm): source: sac, act_name: free_backward
Step 353 (dist=153.7mm): source: sac, act_name: free_forward_small
Step 354 (dist=154.3mm): source: sac, act_name: free_backward
Step 355 (dist=153.7mm): source: sac, act_name: free_backward
Step 356 (dist=153.1mm): source: sac, act_name: free_backward
Step 357 (dist=152.5mm): source: sac, act_name: free_forward
Step 358 (dist=155.0mm): source: sac, act_name: free_backward
Step 359 (dist=154.3mm): source: sac, act_name: free_backward
Step 360 (dist=153.7mm): source: sac, act_name: free_forward
Step 361 (dist=156.3mm): source: sac, act_name: free_backward
Step 362 (dist=155.6mm): source: sac, act_name: free_backward
Step 363 (dist=155.0mm): source: sac, act_name: free_forward
Step 364 (dist=157.7mm): source: sac, act_name: free_backward
Step 365 (dist=157.0mm): source: sac, act_name: free_backward
Step 366 (dist=156.3mm): source: sac, act_name: free_backward
Step 367 (dist=155.6mm): source: sac, act_name: free_backward
Step 368 (dist=155.0mm): source: sac, act_name: free_forward
Step 369 (dist=157.7mm): source: sac, act_name: free_backward
Step 370 (dist=157.0mm): source: sac, act_name: free_backward
Step 371 (dist=156.3mm): source: sac, act_name: free_backward
Step 372 (dist=155.6mm): source: sac, act_name: free_backward
Step 373 (dist=155.0mm): source: sac, act_name: free_backward
Step 374 (dist=154.3mm): source: sac, act_name: free_forward_small
Step 375 (dist=155.0mm): source: sac, act_name: free_backward
Step 376 (dist=154.3mm): source: sac, act_name: free_forward
Step 377 (dist=157.0mm): source: sac, act_name: free_backward
Step 378 (dist=156.3mm): source: sac, act_name: free_forward_small
Step 379 (dist=157.0mm): source: sac, act_name: free_backward
Step 380 (dist=156.3mm): source: sac, act_name: free_forward
Step 381 (dist=159.3mm): source: sac, act_name: free_backward
Step 382 (dist=158.5mm): source: sac, act_name: free_backward
Step 383 (dist=157.7mm): source: sac, act_name: free_backward
Step 384 (dist=157.0mm): source: sac, act_name: free_backward
Step 385 (dist=156.3mm): source: sac, act_name: free_backward
Step 386 (dist=155.6mm): source: sac, act_name: free_forward
Step 387 (dist=158.5mm): source: sac, act_name: free_backward
Step 388 (dist=157.7mm): source: sac, act_name: free_backward
Step 389 (dist=157.0mm): source: sac, act_name: free_forward
Step 390 (dist=160.1mm): source: sac, act_name: free_backward
Step 391 (dist=159.3mm): source: sac, act_name: free_backward
Step 392 (dist=158.5mm): source: sac, act_name: free_backward
Step 393 (dist=157.7mm): source: sac, act_name: free_backward
Step 394 (dist=157.0mm): source: sac, act_name: free_backward
Step 395 (dist=156.3mm): source: sac, act_name: free_backward
Step 396 (dist=155.6mm): source: sac, act_name: free_forward
Step 397 (dist=158.5mm): source: sac, act_name: free_backward
Step 398 (dist=157.7mm): source: sac, act_name: free_backward
Step 399 (dist=157.0mm): source: sac, act_name: free_backward
Step 400 (dist=156.3mm): source: sac, act_name: free_forward_small
Step 401 (dist=157.0mm): source: sac, act_name: free_backward
Step 402 (dist=156.3mm): source: sac, act_name: free_backward
Step 403 (dist=155.6mm): source: sac, act_name: free_backward
Step 404 (dist=155.0mm): source: sac, act_name: free_backward
Step 405 (dist=154.3mm): source: sac, act_name: free_backward
Step 406 (dist=153.7mm): source: sac, act_name: free_backward
Step 407 (dist=153.1mm): source: sac, act_name: free_forward_small
Step 408 (dist=153.7mm): source: sac, act_name: free_backward
Step 409 (dist=153.1mm): source: sac, act_name: free_backward
Step 410 (dist=152.5mm): source: sac, act_name: free_forward
Step 411 (dist=155.0mm): source: sac, act_name: free_backward
Step 412 (dist=154.3mm): source: sac, act_name: free_backward
Step 413 (dist=153.7mm): source: sac, act_name: free_forward
Step 414 (dist=156.3mm): source: sac, act_name: free_backward
Step 415 (dist=155.6mm): source: sac, act_name: free_forward_small
Step 416 (dist=156.3mm): source: sac, act_name: free_backward
Step 417 (dist=155.6mm): source: sac, act_name: free_backward
Step 418 (dist=155.0mm): source: sac, act_name: free_forward
Step 419 (dist=157.7mm): source: sac, act_name: free_backward
Step 420 (dist=157.0mm): source: sac, act_name: free_backward
Step 421 (dist=156.3mm): source: sac, act_name: free_backward
Step 422 (dist=155.6mm): source: sac, act_name: free_backward
Step 423 (dist=155.0mm): source: sac, act_name: free_backward
Step 424 (dist=154.3mm): source: sac, act_name: free_backward
Step 425 (dist=153.7mm): source: sac, act_name: free_forward_small
Step 426 (dist=154.3mm): source: sac, act_name: free_forward
Step 427 (dist=157.0mm): source: sac, act_name: free_backward
Step 428 (dist=156.3mm): source: sac, act_name: free_backward
Step 429 (dist=155.6mm): source: sac, act_name: free_backward
Step 430 (dist=155.0mm): source: sac, act_name: free_forward_small
Step 431 (dist=155.6mm): source: sac, act_name: free_forward_small
Step 432 (dist=156.3mm): source: sac, act_name: free_backward
Step 433 (dist=155.6mm): source: sac, act_name: move_tangentially
Step 434 (dist=154.6mm): source: sac, act_name: free_forward_small
Step 435 (dist=155.3mm): source: sac, act_name: free_forward_small
Step 436 (dist=156.0mm): source: sac, act_name: free_backward
Step 437 (dist=155.3mm): source: sac, act_name: free_forward
Step 438 (dist=158.1mm): source: sac, act_name: free_backward
Step 439 (dist=157.4mm): source: sac, act_name: free_backward
Step 440 (dist=156.6mm): source: sac, act_name: free_backward
Step 441 (dist=156.0mm): source: sac, act_name: free_backward
Step 442 (dist=155.3mm): source: sac, act_name: free_backward
Step 443 (dist=154.6mm): source: sac, act_name: free_forward_small
Step 444 (dist=155.3mm): source: sac, act_name: free_forward
Step 445 (dist=158.1mm): source: sac, act_name: free_backward
Step 446 (dist=157.4mm): source: sac, act_name: free_forward
Step 447 (dist=160.5mm): source: sac, act_name: free_backward
Step 448 (dist=159.7mm): source: sac, act_name: free_backward
Step 449 (dist=158.9mm): source: sac, act_name: free_backward
Step 450 (dist=158.1mm): source: sac, act_name: free_backward
Step 451 (dist=157.4mm): source: sac, act_name: free_backward
Step 452 (dist=156.6mm): source: sac, act_name: free_backward
