Result: collision
Goal: [25.85366971068586, 2.724694440333245, 2.260219589131612, -112.45179200500634, 24.57569503463876, 88.68590705450602]
Steps: 168
Start: [-4.5722580936025725, -21.653860762153695, 29.58694335332183, 69.6066711525732, -4.661805307222579, -12.331836652970878]
End: [39.26429152867649, -0.3099716402854782, -7.120544589203748, -151.3593335004714, 50.047381506830874, -157.28304717788149]
Start distance: 47.6mm
End distance: 16.6mm

Step 001 (dist=47.6mm): source: sac, act_name: detach
Step 106 (dist=11.7mm): source: sac, act_name: move_tangentially
Step 107 (dist=9.6mm): source: sac, act_name: move_tangentially
Step 108 (dist=9.4mm): source: sac, act_name: move_tangentially
Step 109 (dist=7.9mm): source: sac, act_name: move_tangentially
Step 110 (dist=6.3mm): source: sac, act_name: move_tangentially
Step 111 (dist=6.9mm): source: sac, act_name: move_tangentially
Step 112 (dist=7.9mm): source: sac, act_name: move_tangentially
Step 113 (dist=10.0mm): source: sac, act_name: move_tangentially
Step 114 (dist=11.7mm): source: sac, act_name: move_tangentially
Step 115 (dist=9.3mm): source: sac, act_name: move_tangentially
Step 116 (dist=7.3mm): source: q_store, act_name: move_tangentially
Step 117 (dist=6.0mm): source: sac, act_name: move_tangentially
Step 118 (dist=6.1mm): source: sac, act_name: move_tangentially
Step 119 (dist=7.0mm): source: sac, act_name: move_tangentially
Step 120 (dist=7.3mm): source: sac, act_name: move_tangentially
Step 121 (dist=8.7mm): source: sac, act_name: move_tangentially
Step 122 (dist=10.7mm): source: sac, act_name: move_tangentially
Step 123 (dist=10.6mm): source: sac, act_name: move_tangentially
Step 124 (dist=10.8mm): source: sac, act_name: move_tangentially
Step 125 (dist=12.3mm): source: sac, act_name: move_tangentially
Step 126 (dist=12.6mm): source: sac, act_name: move_tangentially
Step 127 (dist=14.8mm): source: sac, act_name: move_tangentially
Step 128 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 129 (dist=14.8mm): source: sac, act_name: move_tangentially
Step 130 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 131 (dist=14.8mm): source: sac, act_name: move_tangentially
Step 132 (dist=16.1mm): source: sac, act_name: move_tangentially
Step 133 (dist=15.1mm): source: sac, act_name: move_tangentially
Step 134 (dist=16.2mm): source: sac, act_name: move_tangentially
Step 135 (dist=16.2mm): source: sac, act_name: move_tangentially
Step 136 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 137 (dist=12.8mm): source: sac, act_name: move_tangentially
Step 138 (dist=14.9mm): source: sac, act_name: move_tangentially
Step 139 (dist=15.6mm): source: sac, act_name: move_tangentially
Step 140 (dist=14.7mm): source: sac, act_name: move_tangentially
Step 141 (dist=17.2mm): source: sac, act_name: move_tangentially
Step 142 (dist=16.1mm): source: sac, act_name: move_tangentially
Step 143 (dist=18.4mm): source: sac, act_name: move_tangentially
Step 144 (dist=17.7mm): source: sac, act_name: move_tangentially
Step 145 (dist=19.4mm): source: sac, act_name: move_tangentially
Step 146 (dist=21.3mm): source: sac, act_name: move_tangentially
Step 147 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 148 (dist=21.2mm): source: sac, act_name: move_tangentially
Step 149 (dist=23.0mm): source: sac, act_name: move_tangentially
Step 150 (dist=21.2mm): source: sac, act_name: move_tangentially
Step 151 (dist=23.8mm): source: sac, act_name: move_tangentially
Step 152 (dist=25.7mm): source: sac, act_name: move_tangentially
Step 153 (dist=27.7mm): source: sac, act_name: move_tangentially
Step 154 (dist=30.1mm): source: sac, act_name: move_tangentially
Step 155 (dist=28.6mm): source: sac, act_name: move_tangentially
Step 156 (dist=27.4mm): source: sac, act_name: move_tangentially
Step 157 (dist=26.7mm): source: sac, act_name: move_tangentially
Step 158 (dist=24.3mm): source: sac, act_name: move_tangentially
Step 159 (dist=25.6mm): source: sac, act_name: detach
Step 160 (dist=24.0mm): source: q_store, act_name: free_forward
Step 161 (dist=18.8mm): source: q_store, act_name: free_forward
Step 162 (dist=16.0mm): source: q_store, act_name: turn_left_big
Step 163 (dist=16.0mm): source: q_store, act_name: turn_left_big
Step 164 (dist=16.0mm): source: q_store, act_name: free_forward
Step 165 (dist=16.9mm): source: q_store, act_name: look_down_big
Step 166 (dist=16.9mm): source: q_store, act_name: turn_left_big
Step 167 (dist=16.9mm): source: q_store, act_name: detach
Step 168 (dist=16.6mm): source: sac, act_name: move_tangentially
