Result: success
Goal: [6.244960358330266, -14.083655032386432, 30.80528972394054, 110.57255611669306, -8.743000856083958, -157.95277206374692]
Steps: 449
Start: [17.78088571975059, 26.441014147532677, 3.359335749501799, -69.0704191419612, 13.527553275201797, -31.45036380801423]
End: [7.352353604337767, -12.934389520367676, 29.18618493136461, 5.174592288539998, -4.928466792822405, -0.44576289551901027]
Start distance: 50.3mm
End distance: 2.3mm

Step 001 (dist=50.3mm): source: sac, act_name: detach
Step 256 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 257 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 258 (dist=16.5mm): source: sac, act_name: move_tangentially
Step 259 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 260 (dist=11.9mm): source: sac, act_name: move_tangentially
Step 261 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 262 (dist=16.2mm): source: sac, act_name: move_tangentially
Step 263 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 264 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 265 (dist=17.5mm): source: sac, act_name: move_tangentially
Step 266 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 267 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 268 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 269 (dist=17.3mm): source: sac, act_name: move_tangentially
Step 270 (dist=19.5mm): source: sac, act_name: move_tangentially
Step 271 (dist=17.1mm): source: sac, act_name: move_tangentially
Step 272 (dist=17.1mm): source: sac, act_name: move_tangentially
Step 273 (dist=19.4mm): source: sac, act_name: move_tangentially
Step 274 (dist=19.0mm): source: sac, act_name: move_tangentially
Step 275 (dist=19.4mm): source: sac, act_name: move_tangentially
Step 276 (dist=17.7mm): source: sac, act_name: move_tangentially
Step 277 (dist=19.6mm): source: sac, act_name: move_tangentially
Step 278 (dist=17.3mm): source: sac, act_name: move_tangentially
Step 279 (dist=17.3mm): source: sac, act_name: move_tangentially
Step 280 (dist=19.0mm): source: sac, act_name: move_tangentially
Step 281 (dist=21.6mm): source: sac, act_name: move_tangentially
Step 282 (dist=20.7mm): source: sac, act_name: move_tangentially
Step 283 (dist=18.5mm): source: sac, act_name: move_tangentially
Step 284 (dist=16.6mm): source: sac, act_name: move_tangentially
Step 285 (dist=14.4mm): source: sac, act_name: move_tangentially
Step 286 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 287 (dist=14.8mm): source: sac, act_name: move_tangentially
Step 288 (dist=14.8mm): source: sac, act_name: move_tangentially
Step 289 (dist=16.7mm): source: sac, act_name: move_tangentially
Step 290 (dist=19.3mm): source: sac, act_name: move_tangentially
Step 291 (dist=21.4mm): source: sac, act_name: move_tangentially
Step 292 (dist=20.5mm): source: sac, act_name: move_tangentially
Step 293 (dist=18.2mm): source: sac, act_name: move_tangentially
Step 294 (dist=20.6mm): source: sac, act_name: move_tangentially
Step 295 (dist=21.0mm): source: sac, act_name: move_tangentially
Step 296 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 297 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 298 (dist=22.9mm): source: sac, act_name: move_tangentially
Step 299 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 300 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 301 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 302 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 303 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 304 (dist=25.0mm): source: sac, act_name: move_tangentially
Step 305 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 306 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 307 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 308 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 309 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 310 (dist=26.4mm): source: sac, act_name: move_tangentially
Step 311 (dist=24.4mm): source: sac, act_name: move_tangentially
Step 312 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 313 (dist=23.4mm): source: sac, act_name: move_tangentially
Step 314 (dist=25.3mm): source: sac, act_name: move_tangentially
Step 315 (dist=24.0mm): source: sac, act_name: move_tangentially
Step 316 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 317 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 318 (dist=23.5mm): source: sac, act_name: move_tangentially
Step 319 (dist=22.6mm): source: sac, act_name: move_tangentially
Step 320 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 321 (dist=26.3mm): source: sac, act_name: move_tangentially
Step 322 (dist=29.0mm): source: sac, act_name: move_tangentially
Step 323 (dist=27.5mm): source: sac, act_name: move_tangentially
Step 324 (dist=25.7mm): source: sac, act_name: move_tangentially
Step 325 (dist=25.7mm): source: sac, act_name: move_tangentially
Step 326 (dist=24.4mm): source: sac, act_name: move_tangentially
Step 327 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 328 (dist=23.3mm): source: sac, act_name: move_tangentially
Step 329 (dist=21.2mm): source: sac, act_name: move_tangentially
Step 330 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 331 (dist=25.9mm): source: sac, act_name: move_tangentially
Step 332 (dist=24.6mm): source: sac, act_name: move_tangentially
Step 333 (dist=22.0mm): source: sac, act_name: move_tangentially
Step 334 (dist=22.0mm): source: sac, act_name: move_tangentially
Step 335 (dist=24.6mm): source: sac, act_name: move_tangentially
Step 336 (dist=22.9mm): source: sac, act_name: move_tangentially
Step 337 (dist=20.4mm): source: sac, act_name: move_tangentially
Step 338 (dist=22.4mm): source: sac, act_name: move_tangentially
Step 339 (dist=24.5mm): source: sac, act_name: move_tangentially
Step 340 (dist=22.8mm): source: sac, act_name: move_tangentially
Step 341 (dist=23.8mm): source: sac, act_name: move_tangentially
Step 342 (dist=26.3mm): source: sac, act_name: move_tangentially
Step 343 (dist=26.3mm): source: sac, act_name: move_tangentially
Step 344 (dist=26.3mm): source: sac, act_name: move_tangentially
Step 345 (dist=24.6mm): source: sac, act_name: move_tangentially
Step 346 (dist=22.4mm): source: sac, act_name: move_tangentially
Step 347 (dist=20.3mm): source: sac, act_name: move_tangentially
Step 348 (dist=19.7mm): source: sac, act_name: move_tangentially
Step 349 (dist=19.7mm): source: sac, act_name: move_tangentially
Step 350 (dist=18.7mm): source: sac, act_name: move_tangentially
Step 351 (dist=21.3mm): source: sac, act_name: move_tangentially
Step 352 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 353 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 354 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 355 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 356 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 357 (dist=22.5mm): source: sac, act_name: move_tangentially
Step 358 (dist=24.4mm): source: sac, act_name: move_tangentially
Step 359 (dist=26.2mm): source: sac, act_name: move_tangentially
Step 360 (dist=27.5mm): source: sac, act_name: move_tangentially
Step 361 (dist=29.4mm): source: sac, act_name: move_tangentially
Step 362 (dist=27.5mm): source: sac, act_name: move_tangentially
Step 363 (dist=25.9mm): source: sac, act_name: move_tangentially
Step 364 (dist=25.9mm): source: sac, act_name: move_tangentially
Step 365 (dist=27.1mm): source: sac, act_name: move_tangentially
Step 366 (dist=25.5mm): source: sac, act_name: move_tangentially
Step 367 (dist=23.9mm): source: sac, act_name: move_tangentially
Step 368 (dist=25.8mm): source: sac, act_name: move_tangentially
Step 369 (dist=23.2mm): source: sac, act_name: move_tangentially
Step 370 (dist=23.5mm): source: sac, act_name: move_tangentially
Step 371 (dist=24.2mm): source: sac, act_name: move_tangentially
Step 372 (dist=22.5mm): source: sac, act_name: move_tangentially
Step 373 (dist=21.8mm): source: sac, act_name: move_tangentially
Step 374 (dist=19.6mm): source: sac, act_name: move_tangentially
Step 375 (dist=19.6mm): source: sac, act_name: move_tangentially
Step 376 (dist=22.1mm): source: sac, act_name: move_tangentially
Step 377 (dist=22.1mm): source: sac, act_name: move_tangentially
Step 378 (dist=24.0mm): source: sac, act_name: move_tangentially
Step 379 (dist=21.7mm): source: sac, act_name: move_tangentially
Step 380 (dist=19.5mm): source: sac, act_name: move_tangentially
Step 381 (dist=17.2mm): source: sac, act_name: move_tangentially
Step 382 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 383 (dist=15.3mm): source: sac, act_name: move_tangentially
Step 384 (dist=13.5mm): source: sac, act_name: move_tangentially
Step 385 (dist=12.1mm): source: sac, act_name: move_tangentially
Step 386 (dist=14.4mm): source: sac, act_name: move_tangentially
Step 387 (dist=16.8mm): source: sac, act_name: move_tangentially
Step 388 (dist=19.1mm): source: sac, act_name: move_tangentially
Step 389 (dist=18.6mm): source: sac, act_name: move_tangentially
Step 390 (dist=17.4mm): source: sac, act_name: move_tangentially
Step 391 (dist=17.1mm): source: sac, act_name: move_tangentially
Step 392 (dist=17.1mm): source: sac, act_name: move_tangentially
Step 393 (dist=17.1mm): source: sac, act_name: move_tangentially
Step 394 (dist=14.9mm): source: sac, act_name: move_tangentially
Step 395 (dist=12.9mm): source: sac, act_name: move_tangentially
Step 396 (dist=12.9mm): source: sac, act_name: move_tangentially
Step 397 (dist=12.9mm): source: sac, act_name: move_tangentially
Step 398 (dist=14.9mm): source: sac, act_name: move_tangentially
Step 399 (dist=14.9mm): source: sac, act_name: move_tangentially
Step 400 (dist=15.1mm): source: sac, act_name: move_tangentially
Step 401 (dist=17.9mm): source: sac, act_name: move_tangentially
Step 402 (dist=16.7mm): source: sac, act_name: move_tangentially
Step 403 (dist=16.4mm): source: sac, act_name: move_tangentially
Step 404 (dist=13.7mm): source: sac, act_name: move_tangentially
Step 405 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 406 (dist=16.1mm): source: sac, act_name: move_tangentially
Step 407 (dist=15.8mm): source: sac, act_name: move_tangentially
Step 408 (dist=15.8mm): source: sac, act_name: move_tangentially
Step 409 (dist=15.8mm): source: sac, act_name: move_tangentially
Step 410 (dist=13.8mm): source: sac, act_name: move_tangentially
Step 411 (dist=11.2mm): source: sac, act_name: move_tangentially
Step 412 (dist=13.8mm): source: sac, act_name: move_tangentially
Step 413 (dist=15.5mm): source: sac, act_name: move_tangentially
Step 414 (dist=16.4mm): source: sac, act_name: move_tangentially
Step 415 (dist=14.2mm): source: sac, act_name: move_tangentially
Step 416 (dist=14.1mm): source: sac, act_name: move_tangentially
Step 417 (dist=12.3mm): source: sac, act_name: move_tangentially
Step 418 (dist=11.0mm): source: sac, act_name: move_tangentially
Step 419 (dist=11.4mm): source: sac, act_name: move_tangentially
Step 420 (dist=11.1mm): source: sac, act_name: move_tangentially
Step 421 (dist=9.9mm): source: sac, act_name: move_tangentially
Step 422 (dist=8.1mm): source: sac, act_name: move_tangentially
Step 423 (dist=8.1mm): source: sac, act_name: move_tangentially
Step 424 (dist=7.0mm): source: sac, act_name: move_tangentially
Step 425 (dist=8.0mm): source: sac, act_name: move_tangentially
Step 426 (dist=8.0mm): source: sac, act_name: move_tangentially
Step 427 (dist=7.5mm): source: sac, act_name: move_tangentially
Step 428 (dist=8.1mm): source: sac, act_name: move_tangentially
Step 429 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 430 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 431 (dist=7.4mm): source: sac, act_name: move_tangentially
Step 432 (dist=6.9mm): source: sac, act_name: move_tangentially
Step 433 (dist=6.9mm): source: sac, act_name: move_tangentially
Step 434 (dist=6.9mm): source: sac, act_name: move_tangentially
Step 435 (dist=6.8mm): source: sac, act_name: move_tangentially
Step 436 (dist=6.2mm): source: sac, act_name: move_tangentially
Step 437 (dist=6.5mm): source: sac, act_name: move_tangentially
Step 438 (dist=7.2mm): source: sac, act_name: move_tangentially
Step 439 (dist=7.2mm): source: sac, act_name: move_tangentially
Step 440 (dist=8.4mm): source: sac, act_name: move_tangentially
Step 441 (dist=6.8mm): source: sac, act_name: move_tangentially
